Suit_1,Suit_2,Suit_3,Suit_4,Pr_suit_1,Pr_suit_2,Pr_suit_3,Pr_suit_4,Pr_10_1,Pr_10_2,Pr_10_3,Pr_10_4
0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.667,0.667,0.667,0.667
1.0,0.0,0.0,0.0,0.233,0.3,0.233,0.233,0.714,0.667,0.643,0.643
1.0,0.0,0.0,1.0,0.218,0.282,0.282,0.218,0.692,0.643,0.643,0.692
1.0,0.0,1.0,0.0,0.218,0.282,0.218,0.282,0.692,0.643,0.692,0.643
1.0,0.0,1.0,1.0,0.204,0.265,0.265,0.265,0.667,0.615,0.692,0.692
1.0,1.0,0.0,0.0,0.282,0.282,0.218,0.218,0.714,0.714,0.615,0.615
1.0,1.0,0.0,1.0,0.265,0.265,0.265,0.204,0.692,0.692,0.615,0.667
1.0,1.0,1.0,0.0,0.265,0.265,0.204,0.265,0.692,0.692,0.667,0.615
1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,0.667,0.667,0.667,0.667
2.0,0.0,0.0,0.0,0.214,0.359,0.214,0.214,0.763,0.667,0.619,0.619
2.0,0.0,0.0,1.0,0.2,0.339,0.26,0.2,0.743,0.643,0.619,0.67
2.0,0.0,0.0,2.0,0.184,0.316,0.316,0.184,0.723,0.619,0.619,0.723
2.0,0.0,1.0,0.0,0.2,0.339,0.2,0.26,0.743,0.643,0.67,0.619
2.0,0.0,1.0,1.0,0.188,0.322,0.245,0.245,0.72,0.615,0.67,0.67
2.0,0.0,1.0,2.0,0.173,0.3,0.3,0.227,0.696,0.587,0.67,0.723
2.0,0.0,2.0,0.0,0.184,0.316,0.184,0.316,0.723,0.619,0.723,0.619
2.0,0.0,2.0,1.0,0.173,0.3,0.227,0.3,0.696,0.587,0.723,0.67
2.0,0.0,2.0,2.0,0.159,0.28,0.28,0.28,0.667,0.554,0.723,0.723
2.0,1.0,0.0,0.0,0.26,0.339,0.2,0.2,0.763,0.714,0.587,0.587
2.0,1.0,0.0,1.0,0.245,0.322,0.245,0.188,0.743,0.692,0.587,0.64
2.0,1.0,0.0,2.0,0.227,0.3,0.3,0.173,0.723,0.67,0.587,0.696
2.0,1.0,1.0,0.0,0.245,0.322,0.188,0.245,0.743,0.692,0.64,0.587
2.0,1.0,1.0,1.0,0.231,0.306,0.231,0.231,0.72,0.667,0.64,0.64
2.0,1.0,1.0,2.0,0.215,0.285,0.285,0.215,0.696,0.64,0.64,0.696
2.0,1.0,2.0,0.0,0.227,0.3,0.173,0.3,0.723,0.67,0.696,0.587
2.0,1.0,2.0,1.0,0.215,0.285,0.215,0.285,0.696,0.64,0.696,0.64
2.0,1.0,2.0,2.0,0.199,0.267,0.267,0.267,0.667,0.609,0.696,0.696
2.0,2.0,0.0,0.0,0.316,0.316,0.184,0.184,0.763,0.763,0.554,0.554
2.0,2.0,0.0,1.0,0.3,0.3,0.227,0.173,0.743,0.743,0.554,0.609
2.0,2.0,0.0,2.0,0.28,0.28,0.28,0.159,0.723,0.723,0.554,0.667
2.0,2.0,1.0,0.0,0.3,0.3,0.173,0.227,0.743,0.743,0.609,0.554
2.0,2.0,1.0,1.0,0.285,0.285,0.215,0.215,0.72,0.72,0.609,0.609
2.0,2.0,1.0,2.0,0.267,0.267,0.267,0.199,0.696,0.696,0.609,0.667
2.0,2.0,2.0,0.0,0.28,0.28,0.159,0.28,0.723,0.723,0.667,0.554
2.0,2.0,2.0,1.0,0.267,0.267,0.199,0.267,0.696,0.696,0.667,0.609
2.0,2.0,2.0,2.0,0.25,0.25,0.25,0.25,0.667,0.667,0.667,0.667
